date,infections
19-Nov-20,183246
20-Nov-20,183840
21-Nov-20,184876
22-Nov-20,185643
23-Nov-20,185944
24-Nov-20,186436
25-Nov-20,187230
26-Nov-20,188138
27-Nov-20,189534
28-Nov-20,190909
29-Nov-20,192117
30-Nov-20,192685
1-Dec-20,193673
2-Dec-20,194876
3-Dec-20,195884
4-Dec-20,196482
5-Dec-20,197391
6-Dec-20,197998
7-Dec-20,198244
8-Dec-20,198752
9-Dec-20,199228
10-Dec-20,200379
11-Dec-20,200765
12-Dec-20,201524
13-Dec-20,202110
14-Dec-20,202180
15-Dec-20,202356
16-Dec-20,203461
17-Dec-20,204249
18-Dec-20,205003
19-Dec-20,205920
20-Dec-20,206257
21-Dec-20,206329
22-Dec-20,206364
23-Dec-20,207084
24-Dec-20,208010
25-Dec-20,208828
26-Dec-20,209274
27-Dec-20,209355
28-Dec-20,209758
29-Dec-20,210326
30-Dec-20,211512
31-Dec-20,212512
1-Jan-21,213378
2-Jan-21,214513
3-Jan-21,214614
4-Jan-21,215080
5-Jan-21,216083
6-Jan-21,217377
7-Jan-21,218385
8-Jan-21,219148
9-Jan-21,220349
10-Jan-21,221070
11-Jan-21,221506
12-Jan-21,222567
13-Jan-21,224315
14-Jan-21,226002
15-Jan-21,226866
16-Jan-21,230808
17-Jan-21,231482
18-Jan-21,231644
19-Jan-21,231644
20-Jan-21,234315
21-Jan-21,236189
22-Jan-21,237158
23-Jan-21,238232
24-Jan-21,241292
25-Jan-21,241567
26-Jan-21,242146
27-Jan-21,243535
28-Jan-21,246000
29-Jan-21,246687
30-Jan-21,249779
31-Jan-21,250828
1-Feb-21,250986
2-Feb-21,251279
3-Feb-21,252390
4-Feb-21,253339
5-Feb-21,255412
6-Feb-21,257115
7-Feb-21,258282
